"Athletics Indicator","Major","Term","Distinct Students","Distinct Students.FORMATTED_VALUE"
"Athlete","Accounting (ACCT)","2021-22","19.0","19"
"Athlete","Accounting (ACCT)","2022-23","25.0","25"
"Athlete","Accounting (ACCT)","2023-24","20.0","20"
"Athlete","Accounting (ACCT)","2024-25","23.0","23"
"Athlete","Acting (ACTG)","2021-22","1.0","1"
"Athlete","Acting (ACTG)","2022-23","1.0","1"
"Athlete","Acting (ACTG)","2023-24","2.0","2"
"Athlete","Acting (ACTG)","2024-25","1.0","1"
"Athlete","Actuarial Science (ACSC)","2021-22","4.0","4"
"Athlete","Actuarial Science (ACSC)","2022-23","4.0","4"
"Athlete","Actuarial Science (ACSC)","2023-24","2.0","2"
"Athlete","Actuarial Science (ACSC)","2024-25","1.0","1"
"Athlete","African-American Studies (AFS)","2024-25","1.0","1"
"Athlete","Allied Health (ALH)","2021-22","14.0","14"
"Athlete","Allied Health (ALH)","2022-23","3.0","3"
"Athlete","Art, Entertainment, & Business (ABUS)","2024-25","2.0","2"
"Athlete","Biochemistry (BCHM)","2021-22","6.0","6"
"Athlete","Biochemistry (BCHM)","2022-23","5.0","5"
"Athlete","Biochemistry (BCHM)","2023-24","3.0","3"
"Athlete","Biochemistry (BCHM)","2024-25","8.0","8"
"Athlete","Biology (BIOL)","2021-22","24.0","24"
"Athlete","Biology (BIOL)","2022-23","19.0","19"
"Athlete","Biology (BIOL)","2023-24","28.0","28"
"Athlete","Biology (BIOL)","2024-25","26.0","26"
"Athlete","Business (BUS)","2021-22","36.0","36"
"Athlete","Business (BUS)","2022-23","6.0","6"
"Athlete","Clarinet (CLAR)","2022-23","1.0","1"
"Athlete","Clarinet (CLAR)","2024-25","2.0","2"
"Athlete","Computer Networking (CNTW)","2021-22","4.0","4"
"Athlete","Computer Networking (CNTW)","2022-23","1.0","1"
"Athlete","Computer Science (CPSC)","2021-22","13.0","13"
"Athlete","Computer Science (CPSC)","2022-23","15.0","15"
