"Athletics Indicator","Major","Term","Distinct Students","Distinct Students.FORMATTED_VALUE"
"Athlete","Accounting (ACCT)","2022-23","1.0","1"
"Athlete","Accounting (ACCT)","2023-24","2.0","2"
"Athlete","Accounting (ACCT)","2024-25","2.0","2"
"Athlete","Biology (BIOL)","2023-24","1.0","1"
"Athlete","Biology (BIOL)","2024-25","1.0","1"
"Athlete","Biomedical Sciences (BIOM)","2021-22","1.0","1"
"Athlete","Biomedical Sciences (BIOM)","2022-23","2.0","2"
"Athlete","Biomedical Sciences (BIOM)","2023-24","2.0","2"
"Athlete","Biomedical Sciences (BIOM)","2024-25","1.0","1"
"Athlete","Business (BUS)","2021-22","1.0","1"
"Athlete","Business Administration (MBA)","2021-22","11.0","11"
"Athlete","Business Administration (MBA)","2022-23","11.0","11"
"Athlete","Business Administration (MBA)","2023-24","9.0","9"
"Athlete","Business Administration (MBA)","2024-25","16.0","16"
"Athlete","Business Analytics (BANL)","2024-25","3.0","3"
"Athlete","Clarinet (CLAR)","2023-24","1.0","1"
"Athlete","Clin Psych (Counslng Practice) (CPCP)","2021-22","1.0","1"
"Athlete","Clin Psych (Counslng Practice) (CPCP)","2024-25","2.0","2"
"Athlete","Clinical MentalHlth Counseling (CMHC)","2021-22","1.0","1"
"Athlete","Clinical MentalHlth Counseling (CMHC)","2024-25","3.0","3"
"Athlete","Clinical Psychology (CPSY)","2021-22","1.0","1"
"Athlete","Clinical Psychology (CPSY)","2023-24","1.0","1"
"Athlete","Clinical Psychology (CPSY)","2024-25","1.0","1"
"Athlete","Computer Science (CPSC)","2022-23","1.0","1"
"Athlete","Computer Science (CPSC)","2023-24","1.0","1"
"Athlete","Computer Science (CPSC)","2024-25","1.0","1"
"Athlete","Conflict and Mediation (CNMN)","2023-24","2.0","2"
"Athlete","Creative Writing (CRWR)","2024-25","1.0","1"
"Athlete","Cyber and Information Security (CSIA)","2023-24","1.0","1"
"Athlete","Cyber and Information Security (CSIA)","2024-25","1.0","1"
"Athlete","Elementary Education (ELED)","2021-22","2.0","2"
"Athlete","Elementary Education (ELED)","2022-23","1.0","1"
"Athlete","Elementary Education (ELED)","2023-24","1.0","1"
"Athlete","Elementary Education (ELED)","2024-25","1.0","1"
"Athlete","Human Performance (HMNP)","2021-22","1.0","1"
"Athlete","Human Resources Management (HRM)","2021-22","1.0","1"
"Athlete","Human Resources Management (HRM)","2022-23","1.0","1"
"Athlete","Human Resources Management (HRM)","2023-24","1.0","1"
"Athlete","Human Resources Management (HRM)","2024-25","1.0","1"
"Athlete","Industrial Organizatnl Psych (IPSY)","2021-22","1.0","1"
"Athlete","Industrial Organizatnl Psych (IPSY)","2023-24","1.0","1"
"Athlete","Integrated Marketing Comm (IMKC)","2021-22","1.0","1"
"Athlete","Integrated Marketing Comm (IMKC)","2022-23","2.0","2"
"Athlete","Integrated Marketing Comm (IMKC)","2023-24","1.0","1"
"Athlete","Integrated Marketing Comm (IMKC)","2024-25","4.0","4"
"Athlete","Middle School Education (MIDL)","2022-23","1.0","1"
"Athlete","Organization Development (ORGD)","2023-24","1.0","1"
"Athlete","Public Administration (PBAD)","2021-22","3.0","3"
"Athlete","Public Administration (PBAD)","2022-23","2.0","2"
"Athlete","Real Estate (REES)","2021-22","1.0","1"
"Athlete","Real Estate (REES)","2022-23","2.0","2"
"Athlete","Real Estate (REES)","2023-24","2.0","2"
"Athlete","Saxophone (SAX)","2023-24","1.0","1"
"Athlete","Secondary Teacher Education (SEED)","2021-22","1.0","1"
"Athlete","Secondary Teacher Education (SEED)","2022-23","1.0","1"
"Athlete","Secondary Teacher Education (SEED)","2024-25","2.0","2"
"Athlete","Special Education (SPED)","2021-22","1.0","1"
"Athlete","Special Education (SPED)","2022-23","1.0","1"
"Athlete","Voice (VOI)","2022-23","1.0","1"
"Athlete","Voice (VOI)","2023-24","1.0","1"
"Never an Athlete","Accounting (ACCT)","2021-22","8.0","8"
"Never an Athlete","Accounting (ACCT)","2022-23","7.0","7"
"Never an Athlete","Accounting (ACCT)","2023-24","17.0","17"
"Never an Athlete","Accounting (ACCT)","2024-25","19.0","19"
"Never an Athlete","Accounting Forensics (ACFR)","2021-22","2.0","2"
"Never an Athlete","Accounting Forensics (ACFR)","2022-23","2.0","2"
"Never an Athlete","Actuarial Science (ACSC)","2021-22","5.0","5"
"Never an Athlete","Actuarial Science (ACSC)","2022-23","7.0","7"
"Never an Athlete","Actuarial Science (ACSC)","2023-24","4.0","4"
"Never an Athlete","Actuarial Science (ACSC)","2024-25","5.0","5"
