Athletics Indicator,Major,Term,Distinct Students,Distinct Students.FORMATTED_VALUE
Athlete,Accounting (ACCT),2021-22,19,19
Athlete,Accounting (ACCT),2022-23,25,25
Athlete,Accounting (ACCT),2023-24,20,20
Athlete,Accounting (ACCT),2024-25,23,23
Athlete,Acting (ACTG),2021-22,1,1
Athlete,Acting (ACTG),2022-23,1,1
Athlete,Acting (ACTG),2023-24,2,2
Athlete,Acting (ACTG),2024-25,1,1
Athlete,Actuarial Science (ACSC),2021-22,4,4
Athlete,Actuarial Science (ACSC),2022-23,4,4
Athlete,Actuarial Science (ACSC),2023-24,2,2
Athlete,Actuarial Science (ACSC),2024-25,1,1
Athlete,African-American Studies (AFS),2024-25,1,1
Athlete,Allied Health (ALH),2021-22,14,14
Athlete,Allied Health (ALH),2022-23,3,3
Athlete,"Art, Entertainment, & Business (ABUS)",2024-25,2,2
Athlete,Biochemistry (BCHM),2021-22,6,6
Athlete,Biochemistry (BCHM),2022-23,5,5
Athlete,Biochemistry (BCHM),2023-24,3,3
Athlete,Biochemistry (BCHM),2024-25,8,8
Athlete,Biology (BIOL),2021-22,24,24
Athlete,Biology (BIOL),2022-23,19,19
Athlete,Biology (BIOL),2023-24,28,28
Athlete,Biology (BIOL),2024-25,26,26
Athlete,Business (BUS),2021-22,36,36
Athlete,Business (BUS),2022-23,6,6
Athlete,Clarinet (CLAR),2022-23,1,1
Athlete,Clarinet (CLAR),2024-25,2,2
Athlete,Computer Networking (CNTW),2021-22,4,4
Athlete,Computer Networking (CNTW),2022-23,1,1
Athlete,Computer Science (CPSC),2021-22,13,13
Athlete,Computer Science (CPSC),2022-23,15,15
Athlete,Computer Science (CPSC),2023-24,23,23
Athlete,Computer Science (CPSC),2024-25,26,26
Athlete,Computer Studies (CS),2021-22,7,7
Athlete,Computer Studies (CS),2022-23,2,2
Athlete,Criminal Justice (CJ),2021-22,41,41
Athlete,Criminal Justice (CJ),2022-23,37,37
Athlete,Criminal Justice (CJ),2023-24,28,28
Athlete,Criminal Justice (CJ),2024-25,32,32
Athlete,Culinary Arts (CUL),2021-22,2,2
Athlete,Cyber and Information Security (CSIA),2021-22,7,7
Athlete,Cyber and Information Security (CSIA),2022-23,10,10
Athlete,Cyber and Information Security (CSIA),2023-24,12,12
Athlete,Cyber and Information Security (CSIA),2024-25,14,14
Athlete,Data Analytics (DANL),2021-22,1,1
Athlete,Data Analytics (DANL),2022-23,1,1
Athlete,Data Analytics (DANL),2023-24,5,5
Athlete,Data Analytics (DANL),2024-25,4,4
Athlete,Diagnostic Med Sonogrphy (DMS),2021-22,7,7
Athlete,Diagnostic Med Sonogrphy (DMS),2022-23,5,5
Athlete,Diagnostic Med Sonogrphy (DMS),2023-24,6,6
Athlete,Diagnostic Med Sonogrphy (DMS),2024-25,8,8
Athlete,"Digital, Adv, & Public Rel (DAPR)",2021-22,1,1
Athlete,"Digital, Adv, & Public Rel (DAPR)",2022-23,10,10
Athlete,"Digital, Adv, & Public Rel (DAPR)",2023-24,24,24
Athlete,"Digital, Adv, & Public Rel (DAPR)",2024-25,21,21
Athlete,Drafting and Design Technology (DDT),2021-22,3,3
Athlete,Early Childhood Education (ECHD),2021-22,3,3
Athlete,Early Childhood Education (ECHD),2022-23,6,6
Athlete,Early Childhood Education (ECHD),2023-24,4,4
Athlete,Early Childhood Education (ECHD),2024-25,3,3
Athlete,Economics (ECON),2021-22,4,4
Athlete,Economics (ECON),2022-23,3,3
Athlete,Economics (ECON),2023-24,5,5
Athlete,Economics (ECON),2024-25,1,1
Athlete,Education & Youth Studies (EDYS),2021-22,1,1
Athlete,Education & Youth Studies (EDYS),2022-23,1,1
Athlete,Education & Youth Studies (EDYS),2023-24,2,2
Athlete,Education & Youth Studies (EDYS),2024-25,5,5
Athlete,Elementary Education (ELED),2021-22,8,8
Athlete,Elementary Education (ELED),2022-23,8,8
Athlete,Elementary Education (ELED),2023-24,9,9
Athlete,Elementary Education (ELED),2024-25,8,8
Athlete,English (ENG),2021-22,4,4
Athlete,English (ENG),2022-23,6,6
Athlete,English (ENG),2023-24,2,2
Athlete,English (ENG),2024-25,1,1
Athlete,Euphonium (EUPH),2023-24,1,1
Athlete,Exercise and Sports Studies (ESS),2021-22,12,12
Athlete,"Exercise, Nutrition and Health (ENHS)",2021-22,50,50
Athlete,"Exercise, Nutrition and Health (ENHS)",2022-23,82,82
Athlete,"Exercise, Nutrition and Health (ENHS)",2023-24,91,91
Athlete,"Exercise, Nutrition and Health (ENHS)",2024-25,89,89
Athlete,Experiential Learning (EXPL),2021-22,2,2
Athlete,Experiential Learning (EXPL),2022-23,1,1
Athlete,Finance (FIN),2021-22,30,30
Athlete,Finance (FIN),2022-23,33,33
Athlete,Finance (FIN),2023-24,38,38
Athlete,Finance (FIN),2024-25,46,46
Athlete,Graphic Arts (GDS),2021-22,10,10
Athlete,Graphic Arts (GDS),2022-23,1,1
